Account Name,Record Type,Record Type ID,Agriculture Type,Industry,Billing Street,Billing City,Billing State,Billing Postal Code,Billing Country,Phone,Website,Annual Revenue,Number of Employees,Description,Rating,Customer Priority,SLA,Upsell Opportunity,Active,Created Date,Last Activity Date,Billing Latitude,Billing Longitude,Farm Size (Acres),Primary Equipment,Farming Region,Certification,Water Source,Soil Type
Miller Big Valley,Farm,012KY0000001OFfYAM,Cattle Ranch,Agriculture,48952 East Spring Road,Agri Town,California,13359,United States,(319) 481-1130,www.millerbigvalley.com,2449780,3,Family-owned cattle ranch specializing in fertilizer equipment,Cold,Low,Silver,No,Yes,2024-07-30,2025-04-16,32.842615,-116.001191,4672,Fertilizer Equipment,Imperial Valley,Conventional,Well,Silt
Cedar Estates,Farm,012KY0000001OFfYAM,Vineyard,Agriculture,79904 Southeast Rural Route,Rural City 2,Oklahoma,65044,United States,(319) 534-8217,www.cedarestates.com,9613562,46,Family-owned vineyard specializing in fertilizer equipment,Warm,Medium,Gold,Maybe,Yes,2020-08-23,2025-04-10,47.384724,-101.007248,1737,Fertilizer Equipment,Agricultural Region 2,Conventional,Irrigation District,Clay
Jones Oak Meadows,Farm,012KY0000001OFfYAM,Organic Farm,Agriculture,3696 West Farm Road,Rural City 3,Georgia,15052,United States,(319) 761-7293,www.jonesoakmeadows.com,168463,17,Premium organic farm with state-of-the-art livestock equipment,Cold,Medium,Silver,Maybe,Yes,2025-04-18,2025-04-08,42.427891,-94.680722,2329,Livestock Equipment,Agricultural Region 3,Organic,River,Sandy
Willow Cattle,Farm,012KY0000001OFfYAM,Organic Farm,Agriculture,88159 Creek Road,Rural City 4,Arkansas,75337,United States,(641) 204-2236,www.willowcattle.com,5064610,48,Modern organic farm using sustainable practices,Warm,High,Gold,Yes,Yes,2023-09-30,2025-05-15,35.509726,-112.416018,868,Hay Equipment,Agricultural Region 4,GAP Certified,River,Mixed
Williams Hill Produce,Farm,012KY0000001OFfYAM,Poultry Farm,Agriculture,10848 Southwest Farm Road,Rural City 5,Tennessee,77047,United States,(515) 402-9018,www.williamshillproduce.com,4041729,23,Established poultry farm serving the Tennessee region,Cold,Medium,Bronze,No,Yes,2024-03-25,2025-07-15,45.191776,-123.771425,3611,Sprayers,Agricultural Region 5,Organic,Municipal,Silt
Miller New Produce,Farm,012KY0000001OFfYAM,Poultry Farm,Agriculture,26806 Rural Route,Rural City 6,Texas,31474,United States,(712) 596-4317,www.millernewproduce.com,7377177,17,Multi-generational poultry farm with 4203 acres,Cold,Medium,Gold,Yes,Yes,2023-06-16,2025-04-16,33.708996,-101.994591,4203,Harvesters,High Plains,GAP Certified,River,Mixed
Sunny Produce,Farm,012KY0000001OFfYAM,Vineyard,Agriculture,24634 Southwest Ranch Road,Rural City 7,Ohio,33546,United States,(712) 529-9369,www.sunnyproduce.com,2040197,14,Modern vineyard using sustainable practices,Cold,Medium,Silver,Maybe,Yes,2020-12-27,2025-03-10,27.883797,-121.211363,3291,Grain Storage,Agricultural Region 7,GAP Certified,River,Sandy
Johnson New Hills,Farm,012KY0000001OFfYAM,Poultry Farm,Agriculture,38411 Old Highway,Rural City 8,North Carolina,27403,United States,(641) 839-5796,www.johnsonnewhills.com,1976967,48,Multi-generational poultry farm with 1700 acres,Hot,Low,Silver,Yes,Yes,2021-04-03,2025-06-25,31.969048,-67.255285,1700,Sprayers,Agricultural Region 8,None,Well,Silt
Williams Oak Farm,Farm,012KY0000001OFfYAM,Cattle Ranch,Agriculture,73270 Creek Road,Rural City 9,Kentucky,74989,United States,(641) 264-7876,www.williamsoakfarm.com,3328238,48,Multi-generational cattle ranch with 1947 acres,Cold,Low,Silver,No,Yes,2022-12-01,2025-07-12,27.816218,-78.59268,1947,Dairy Equipment,Agricultural Region 9,None,Well,Silt
Hill Estates,Farm,012KY0000001OFfYAM,Mixed Crop Farm,Agriculture,59082 River Road,Rural City 10,Minnesota,75871,United States,(515) 985-6698,www.hillestates.com,4800080,17,Family-owned mixed crop farm specializing in dairy equipment,Hot,Medium,Silver,No,Yes,2022-02-11,2025-04-04,44.031381,-73.082861,3840,Dairy Equipment,Agricultural Region 10,None,Irrigation District,Mixed
